a	ə
obalać	ɔˈba.lat͡ɕ
obalić	ɔˈba.lʲit͡ɕ
obaw	ˈɔ.baf
obawa	ɔˈba.va
obca	ˈɔp.t͡sa
obcas	ˈɔp.t͡sas
obchodzi	ɔpˈxɔ.d͡ʑi
obciach	ˈɔp.t͡ɕax
obciążać	ɔpˈt͡ɕɔŋ.ʐat͡ɕ
obciążenie	ɔp.t͡ɕɔŋˈʐɛ.ɲɛ
obcokrajowiec	ɔp.t͡sɔ.kraˈjɔ.vʲɛt͡s
obcować	ɔpˈt͡sɔ.vat͡ɕ
obcy	ˈɔp.t͡sɨ
obcęgi	ɔpˈt͡sɛŋ.ɡʲi
obecnie	ɔˈbɛt͡s.ɲɛ
obecność	ɔˈbɛt͡s.nɔɕt͡ɕ
obecny	ɔˈbɛt͡s.nɨ
obejmowanie	ɔ.bɛj.mɔˈva.ɲɛ
obejmować	ɔ.bɛjˈmɔ.vat͡ɕ
obejmując	ɔ.bɛjˈmu.jɔnt͡s
obejmujący	ɔ.bɛj.muˈjɔn.t͡sɨ
obelga	ɔˈbɛl.ɡa
obelisk	ɔˈbɛ.lʲisk
obficie	ɔpˈfʲi.t͡ɕɛ
obfitość	ɔpˈfʲi.tɔɕt͡ɕ
obfitszy	ɔpˈfʲit.ʂɨ
obfity	ɔpˈfʲi.tɨ
obgadać	ɔbˈɡa.dat͡ɕ
obgadywać	ɔb.ɡaˈdɨ.vat͡ɕ
obiad	ˈɔ.bʲat
obiecadło	ɔ.bʲɛˈt͡sa.dwɔ
obiecanie	ɔ.bʲɛˈt͡sa.ɲɛ
obiecankicacanki	ɔ.bʲɛˈt͡san.kʲi t͡saˈt͡san.kʲi
obiecać	ɔˈbʲɛ.t͡sat͡ɕ
obiecuje	ɔbʲjɛˈt͡s̪ujɛ
obiecuję	ɔbʲjɛˈt͡s̪ujɛ
obiecywać	ɔ.bʲɛˈt͡sɨ.vat͡ɕ
obiecywaćgruszkinawierzbie	ɔ.bʲɛˈt͡sɨ.vat͡ɕ ˈɡruʂ.kʲi na ˈvʲɛʐ.bʲɛ
obiecywaćzłotegóry	ɔ.bʲɛˈt͡sɨ.vat͡ɕ ˈzwɔ.tɛ ˈɡu.rɨ
obiekt	ˈɔ.bʲɛkt
obiektyw	ɔˈbʲɛk.tɨf
obiektywny	ɔ.bʲɛkˈtɨv.nɨ
obiektywszerokokątny	ɔˈbʲɛk.tɨf ʂɛ.rɔ.kɔˈkɔn.tnɨ
obietnica	ɔ.bʲɛtˈɲi.t͡sa
objaw	ˈɔ.bʲaf
objętość	ɔˈbʲɛn.tɔɕt͡ɕ
oblekać	ɔbˈlɛ.kat͡ɕ
oblicze	ɔbˈlʲi.t͡ʂɛ
obligacja	ɔb.lʲiˈɡat͡s.ja
oblężenie	ɔb.lɛŋˈʐɛ.ɲɛ
obnosić	ɔbˈnɔ.ɕit͡ɕ
oboczność	ɔˈbɔt͡ʂ.nɔɕt͡ɕ
obojczyk	ɔˈbɔjt͡ʂɨk
oboje	ɔˈbɔ.jɛ
obojętność	ɔ.bɔˈjɛn.tnɔɕt͡ɕ
obojętny	ɔ.bɔˈjɛn.tnɨ
obok	ˈɔ.bɔk
obora	ɔˈbɔ.ra
obowiązek	ɔ.bɔˈvʲɔ̃.zɛk
obrabować	ɔ.braˈbɔ.vat͡ɕ
obracać	ɔˈbra.t͡sat͡ɕ
obraz	ˈobras
obrazić	ɔˈbra.ʑit͡ɕ
obrazoburca	ɔ.bra.zɔˈbur.t͡sa
obraźliwy	ɔ.braʑˈlʲi.vɨ
obrażając	ɔ.braˈʐa.jɔnt͡s
obrażający	ɔ.bra.ʐaˈjɔn.t͡sɨ
obrażać	ɔˈbra.ʐat͡ɕ
obrażenie	ɔ.braˈʐɛ.ɲɛ
obrona	ɔˈbrɔ.na
obrony	ɔˈbrɔ.nɨ
obroża	ɔˈbrɔ.ʐa
obrus	ˈɔ.brus
obrzezać	ɔbˈʐɛ.zat͡ɕ
obrzydliwiebogaty	ɔb.ʐɨdˈlʲi.vʲɛ bɔˈɡa.tɨ
obrzęk	ˈɔb.ʐɛŋk
obrzęknąć	ɔbˈʐɛŋ.knɔɲt͡ɕ
obrót	ˈɔ.brut
obręcz	ˈɔ.brɛnt͡ʂ
obserwować	ɔp.sɛrˈvɔ.vat͡ɕ
obserwując	ɔp.sɛrˈvu.jɔnt͡s
obserwujący	ɔp.sɛr.vuˈjɔn.t͡sɨ
obsesja	ɔpˈsɛs.ja
obsesyjnie	ɔp.sɛˈsɨj.ɲɛ
obsesyjny	ɔp.sɛˈsɨj.nɨ
obszar	ˈɔp.ʂar
obszerniejszy	ɔp.ʂɛrˈɲɛj.ʂɨ
obszerny	ɔpˈʂɛr.nɨ
obudowa	ɔ.buˈdɔ.va
obudzić	ɔˈbu.d͡ʑit͡ɕ
obudź	ˈɔ.but͡ɕ
oburęczny	ɔ.buˈrɛn.t͡ʂnɨ
obuwie	ɔˈbu.vʲɛ
obuć	ˈɔ.but͡ɕ
obwiniać	ɔbˈvʲi.ɲat͡ɕ
obwodnica	ɔb.vɔˈdɲi.t͡sa
obwód	ˈɔb.vut
obywatel	ɔ.bɨˈva.tɛl
obywatelka	ɔ.bɨ.vaˈtɛl.ka
obywatelstwo	ɔ.bɨ.vaˈtɛl.stfɔ
obój	ˈobuj
obóz	ˈɔ.bus
obózkoncentracyjny	ˈɔ.bus kɔn.t͡sɛn.traˈt͡sɨj.nɨ
obłok	ˈɔ.bwɔk
obłość	ˈɔ.bwɔɕt͡ɕ
obły	ˈɔ.bwɨ
obłąkany	ɔbwɔ̃ŋˈkãn̪ɨ
obżarstwo	ɔbˈʐar.stfɔ
ocalić	ɔˈt͡sa.lʲit͡ɕ
ocean	ˈəʊ.ʃən
ocena	ɔˈt͡sɛ.na
oceniać	ɔˈt͡sɛ.ɲat͡ɕ
ocenić	ɔˈt͡sɛ.ɲit͡ɕ
ocet	ˈot͡sɛt
ochota	ɔˈxɔ.ta
ochotniczastrażpożarna	ɔ.xɔtˈɲi.t͡ʂa straʂ pɔˈʐar.na
ochotnik	ɔˈxɔt.ɲik
ochoty	ɔˈxɔ.tɨ
ochotę	ɔˈxɔ.tɛ
ochrona	ɔˈxrɔ.na
ochroniarz	ɔˈxrɔ.ɲaʂ
ochronny	ɔˈxrɔn.nɨ
ochrony	ɔˈxrɔ.nɨ
ochronę	ɔˈxrɔ.nɛ
ocieplać	ɔˈt͡ɕɛp.lat͡ɕ
ocipieć	ɔˈt͡ɕi.pʲɛt͡ɕ
oczach	ˈɔ.t͡ʂax
oczami	ɔˈt͡ʂa.mʲi
oczekuje	ɔ.t͡ʂɛˈku.jɛ
oczekuję	ɔ.t͡ʂɛˈku.jɛ
oczeret	ɔˈt͡ʂɛ.rɛt
oczerniać	ɔˈt͡ʂɛr.ɲat͡ɕ
oczko	ˈɔt͡ʂ.kɔ
oczojebny	ɔ.t͡ʂɔˈjɛb.nɨ
oczom	ˈɔ.t͡ʂɔm
oczu	ˈɔ.t͡ʂu
oczy	ɔt͡ʂɨ
oczyma	ɔˈt͡ʂɨ.ma
oczywistość	ɔ.t͡ʂɨˈvʲi.stɔɕt͡ɕ
oczywistszy	ɔ.t͡ʂɨˈvʲi.stʂɨ
oczywisty	ɔ.t͡ʂɨˈvʲi.stɨ
oczywiście	ɔ.t͡ʂɨˈvʲiɕ.t͡ɕɛ
oczęta	ɔˈt͡ʂɛ̃n̪t̪a
od	ɒd
oda	ˈodɒ
odbiegać	ɔdˈbʲɛ.ɡat͡ɕ
odbiera	ɔdˈbʲɛ.ra
odbierać	ɔdˈbʲɛ.rat͡ɕ
odbierz	ˈɔd.bʲɛʂ
odbijać	ɔdˈbʲi.jat͡ɕ
odbiornik	ɔdˈbʲɔr.ɲik
odbiór	ˈɔd.bʲur
odbić	ˈɔd.bʲit͡ɕ
odbiło	ɔdˈbʲi.wɔ
odbudować	ɔdbuˈdɔvat͡ɕ
odbyt	ˈɔd.bɨt
odchody	ɔtˈxɔ.dɨ
odchodzić	ɔtˈxɔ.d͡ʑit͡ɕ
odchodzę	ɔtˈxɔ.d͡zɛ
odchodź	ˈɔt.xɔt͡ɕ
odcień	ˈɔt.t͡ɕɛɲ
odcinek	ɔtˈt͡ɕi.nɛk
odczasownikowy	ɔt.t͡ʂaˌsɔv.ɲiˈkɔ.vɨ
odczasukiedy	ɔt ˈt͡ʂa.su ˈkʲɛ.dɨ
odczynić	ɔtˈt͡ʂɨ.ɲit͡ɕ
oddaj	ˈɔd.daj
oddać	ˈɔd.dat͡ɕ
odrazu	ɔˈdra.zu
odręki	ɔdˈrɛ.kʲi
okantdupypotłuc	ɔ kant ˈdu.pɨ ˈpɔ.twut͡s
owilkumowa	ɔ ˈvʲil.ku ˈmɔ.va
owilkumowa,awilktu	ɔ ˈvʲil.ku ˈmɔ.va a ˈvʲilk ˈtu
pa	pɑː
pacan	ˈpa.t͡san
pacha	ˈpaxa
pachnidło	paxˈɲi.dwɔ
pachnie	ˈpax.ɲɛ
pachnieć	ˈpax.ɲɛt͡ɕ
pachołek	paˈxɔ.wɛk
pacjent	ˈpat͡s.jɛnt
pacjenta	pat͡sˈjɛn.ta
pacjentka	pat͡sˈjɛn.tka
pacjentów	pat͡sˈjɛn.tuf
paczka	ˈpat͡ʂ.ka
paczyć	ˈpa.t͡ʂɨt͡ɕ
padaczka	paˈdat͡ʂ.ka
padaczkowy	pa.dat͡ʂˈkɔ.vɨ
padający	pa.daˈjɔn.t͡sɨ
padanie	paˈda.ɲɛ
padać	ˈpadat͡ɕ
padnij	ˈpa.dɲij
padnięty	paˈdɲɛn.tɨ
pagórek	paˈɡu.rɛk
pajac	ˈpa.jat͡s
pajączek	paˈjɔ̃nt͡ʂɛk
pająk	ˈpa.jɔŋk
pakować	paˈkɔ.vat͡ɕ
pakunek	paˈku.nɛk
pal	pal
palacz	ˈpalat͡ʂ
palant	ˈpa.lant
palarnia	paˈlar.ɲa
palatalizacja	palataliˈzat͡sja
palcie	ˈpal.t͡ɕɛ
palców	ˈpal.t͡suf
palcówka	palˈt͡suf.ka
palec	ˈpalɛt͡s
palenie	paˈlɛ.ɲɛ
palenisko	pa.lɛˈɲi.skɔ
paleontolog	pa.lɛ.ɔnˈtɔ.lɔk
palestyński	pa.lɛˈstɨɲ.skʲi
palgosześć	pal ɡɔ ʂɛɕt͡ɕ
pali	ˈpalʲi
palicie	paˈlʲi.t͡ɕɛ
palimy	paˈlʲi.mɨ
palindrom	paˈlʲin.drɔm
palisada	pa.lʲiˈsa.da
palisz	ˈpa.lʲiʂ
paliwo	paˈlʲi.vɔ
palić	ˈpa.lʲit͡ɕ
palićsię	ˈpa.lʲit͡ɕ ɕɛ
palił	ˈpalʲiw
paliła	paˈlʲi.wa
paliłaby	pa.lʲiˈwa.bɨ
paliłabym	pa.lʲiˈwa.bɨm
paliłabyś	pa.lʲiˈwa.bɨɕ
paliłam	paˈlʲi.wam
paliłaś	paˈlʲi.waɕ
paliłby	paˈlʲiw.bɨ
paliłbym	paˈlʲiw.bɨm
paliłbyś	paˈlʲiw.bɨɕ
paliłem	paˈlʲi.wɛm
paliłeś	paˈlʲi.wɛɕ
paliło	paˈlʲi.wɔ
paliłoby	pa.lʲiˈwɔ.bɨ
pallad	ˈpal.lat
palma	ˈpal.mə
palmowy	palˈmɔ.vɨ
palnik	ˈpal.ɲik
palny	ˈpal.nɨ
palono	paˈlɔ.nɔ
palsześć	pal ʂɛɕt͡ɕ
pamiątka	paˈmʲɔn.tka
pamiętający	pa.mʲɛn.taˈjɔn.t͡sɨ
pamiętam	pãˈmʲjɛ̃n̪t̪ãm
pamiętamy	pa.mʲɛnˈta.mɨ
pamiętasz	pãˈmʲjɛ̃n̪t̪aʂ
pamiętać	paˈmʲɛn.tat͡ɕ
pamiętliwy	pa.mʲɛnˈtlʲi.vɨ
pamiętnik	pãˈmʲjɛ̃n̪t̪ʲɲik
pamiętny	paˈmʲɛn.tnɨ
pamięć	ˈpa.mʲɛɲt͡ɕ
pan	pæn
pana	ˈpana
panach	ˈpa.nax
panami	paˈna.mʲi
pancerz	ˈpan.t͡sɛʂ
pandeista	pan.dɛˈi.sta
pandeizm	panˈdɛ.izm
pandemia	panˈdɛ.mʲa
panem	ˈpanɛm
pani	ˈpa.ɲi
paniach	ˈpa.ɲax
panie	ˈpa.ɲɛ
panienko	paˈɲɛn.kɔ
panika	ˈpa.ɲi.ka
panią	ˈpa.ɲɔ̃
panna	ˈpana
panom	ˈpa.nɔm
panorama	ˌpæ.nəˈɹæ.mə
panować	paˈnɔ.vat͡ɕ
panowie	paˈnɔ.vʲɛ
panpsychizm	panˈpsɨ.xʲizm
panteista	pan.tɛˈi.sta
panteizm	panˈtɛ.izm
pantograf	panˈtɔ.ɡraf
panu	ˈpanu
panwładza	pan ˈvwa.d͡za
panów	ˈpa.nuf
papa	pəˈpɑː
papier	pa.pje
papierek	paˈpʲɛ.rɛk
papieros	paˈpʲɛ.rɔs
papierowy	papjɛˈrɔvɨ
papierośnica	pa.pʲɛ.rɔɕˈɲi.t͡sa
papiery	paˈpʲɛ.rɨ
papieski	paˈpʲɛs.kʲi
papież	ˈpa.pʲɛʂ
paproć	ˈpaprɔt͡ɕ
papryka	paˈprɨ.ka
papuga	paˈpu.ɡa
papużka	paˈpuʂka
papużkafalista	paˈpuʂ.ka faˈlʲi.sta
para	ˈpɑːɹə
parabola	pəˈɹæbələ
paradoks	pʰɑɑˈd̥ʌɡ̊s
paradoksalny	pa.ra.dɔkˈsal.nɨ
paradygmat	pa.raˈdɨɡ.mat
parafia	paˈra.fʲa
parafianin	pa.raˈfʲa.ɲin
paragon	ˈpæɹəɡən
paragraf	paˈra.ɡraf
pałac	ˈpa.wat͡s
pałaszować	pa.waˈʂɔ.vat͡ɕ
pałka	ˈpawka
pałować	paˈwɔ.vat͡ɕ
pały	ˈpawɨ
pańska	ˈpaɲ.ska
państwa	ˈpaɲ.stfa
państwo	ˈpaɲ.stfɔ
raban	ˈrapan
rabat	ˈrapah(t)
rabować	raˈbɔ.vat͡ɕ
rabunek	raˈbunɛk
raca	ˈra.t͡sa
rachityczny	ra.xʲiˈtɨt͡ʂ.nɨ
rachować	raˈxɔ.vat͡ɕ
rachunek	raˈxun̪ɛk
rachunkowość	ra.xunˈkɔ.vɔɕt͡ɕ
racica	raˈt͡ɕit͡s̪a
racjonalizm	rat͡s.jɔˈna.lʲizm
rację	ˈrat͡s̪ʲjɛ
raczej	ˈra.t͡ʂɛj
raczyć	ˈra.t͡ʂɨt͡ɕ
rad	ɹæd
rada	ˈrada
radio	ˈɹeɪdiˌəʊ
radiowy	raˈdjɔvɨ
radlica	radˈlʲi.t͡sa
radna	ˈrad.na
radni	ˈra.dɲi
radny	ˈrad.nɨ
radon	ˈɹeɪdɒn
radosny	raˈdɔs.nɨ
radości	raˈdɔɕ.t͡ɕi
radośnie	raˈdɔɕ.ɲɛ
radość	ˈra.dɔɕt͡ɕ
radziecki	raˈd͡ʑɛt͡s.kʲi
radzisz	ˈra.d͡ʑiʂ
radzę	ˈra.d͡zɛ
radę	ˈrad̪ɛ
rafa	ˈrafa
rafandynka	ra.fanˈdɨn.ka
raj	ɹɑːdʒ
rajdowiec	rajˈdɔ.vʲɛt͡s
rajpodatkowy	raj pɔ.datˈkɔ.vɨ
rajski	ˈraj.skʲi
rajstopy	rajˈstɔpɨ
rak	rak
rakach	ˈrakax
rakami	raˈka.mʲi
rakiem	ˈra.kʲɛm
rakieta	raˈkʲɛ.ta
rakietaśnieżna	raˈkʲɛ.ta ˈɕɲɛʐ.na
rakom	ˈra.kɔm
rakotwórczy	ra.kɔˈtfur.t͡ʂɨ
rakowi	raˈkɔ.vʲi
raków	ˈra.kuf
ramka	ˈram.ka
ramol	ˈra.mɔl
rana	ˈraː.na
randka	ˈrantka
ranny	ˈran.nɨ
rannyptaszek	ˈran.nɨ ˈpta.ʂɛk
rano	ˈrano
rany	ˈra.nɨ
rasista	raˈɕi.sta
rasizm	ˈraɕis̪m̥
rataj	ˈra.taj
ratownik	raˈtɔv.ɲik
ratrak	ˈra.trak
ratujący	ra.tuˈjɔn.t͡sɨ
ratunek	raˈtu.nɛk
ratusz	ˈratuʂ
raz	ʁa
razem	ˈraz̪ɛm
razie	ˈraʑɛ
razić	ˈra.ʑit͡ɕ
raznaruskirok	ras na ˈrus.kʲi rɔk
razu	ˈrazu
razy	ˈraz̪ɨ
rdza	rd͡za
rdzawy	ˈrd͡za.vɨ
rdzeń	rd͡zɛɲ
rdzeńkręgowy	rd͡zɛɲ krɛŋˈɡɔ.vɨ
reagować	rɛ.aˈɡɔ.vat͡ɕ
reakcyjny	rɛ.akˈt͡sɨj.nɨ
realista	rɛ.aˈlʲi.sta
realistyczniejszy	rɛ.a.lʲi.stɨt͡ʂˈɲɛj.ʂɨ
realizujący	rɛ.a.lʲi.zuˈjɔn.t͡sɨ
recepcja	rɛˈt͡sɛp.t͡sja
red	ɹɛd
redakcja	rɛˈdak.t͡sja
refujący	rɛ.fuˈjɔn.t͡sɨ
regał	ˈrɛ.ɡaw
region	ˈɹiːd͡ʒn̩
regionem	rɛˈɡʲɔ.nɛm
regulaminowyczas	rɛɡulamʲiˈnɔvɨ t͡ʂas
regularniejszy	rɛ.ɡu.larˈɲɛj.ʂɨ
reguła	rɛˈɡu.wa
regułaprzekory	rɛˈɡu.wa pʂɛˈkɔ.rɨ
reizm	ˈrɛ.izm
rejestr	ˈrɛjɛs̪t̪r̥
rejestracja	rɛjɛˈstrat͡sʲja
rekin	ˈrɛ.kʲin
reklamowana	rɛk.la.mɔˈva.na
reklamowane	rɛk.la.mɔˈva.nɛ
reklamowani	rɛk.la.mɔˈva.ɲi
reklamowany	rɛk.la.mɔˈva.nɨ
reklamujący	rɛk.la.muˈjɔn.t͡sɨ
rekord	ˈrɛkord
relacja	rɛˈlat͡s.ja
religia	rɛˈlʲiɟja
relikwiarz	rɛˈlʲik.fʲaʂ
remis	ˈrɛmʲis
ren	ɹɛn
rena	ˈrɛ.na
rendezvous	ʁɑ̃.de.vu
renegat	rɛˈnɛ.ɡat
renem	ˈrɛ.nɛm
renie	ˈrɛ.ɲɛ
renifer	rɛˈɲi.fɛr
renom	ˈrɛ.nɔm
renta	ˈrɛn.ta
rentgen	ˈrɛn.tɡɛn
reportaż	rɛˈpɔrtaʂ
repozytorium	rɛ.pɔ.zɨˈtɔ.rʲum
reprezentant	rɛ.prɛˈzɛn.tant
reputacja	rɛpuˈtat͡sja
restauracja	rɛstawˈrat͡sja
reszta	ˈrɛʂta
resztka	ˈrɛʂ.tka
resztki	ˈrɛʂ.tkʲi
reszty	ˈrɛʂ.tɨ
resztynietrzeba	ˈrɛʂ.tɨ ɲɛ ˈtʂɛ.ba
resztą	ˈrɛʂ.tɔ̃
rewers	ˈrɛ.vɛrs
rewolucja	rɛvɔˈlut͡sja
rewolwer	rɛˈvɔlvɛr
rezerwujący	rɛ.zɛr.vuˈjɔn.t͡sɨ
rezun	ˈrɛ.zun
rezus	ˈrɛ.zus
reżyser	rɛˈʐɨsɛr
rąbać	ˈrɔm.bat͡ɕ
rączka	ˈrɔn.t͡ʂka
rąk	rɔŋk
ręce	ˈrɛ̃n̪t͡s̪ɛ
ręcznik	ˈrɛ̃nt͡ʂɲik
ręka	ˈrɛŋka
rękach	ˈrɛŋ.kax
rękawica	rɛ̃ŋkaˈvʲit͡s̪a
rękawiczka	rɛŋkaˈvʲit͡ʂka
ręki	ˈrɛŋ.kʲi
ręko	ˈrɛŋ.kɔ
ręką	ˈrɛŋ.kɔ̃
rękę	ˈrɛ̃ŋkɛ
sabotaż	s̪aˈbɔt̪aʂ
sabotujący	sa.bɔ.tuˈjɔn.t͡sɨ
sacharyna	sa.xaˈrɨ.na
sad	sæd
sadza	ˈsad͡za
sadzawka	saˈd͡zaf.ka
sadzić	ˈsa.d͡ʑit͡ɕ
sadzonka	saˈd͡zɔn.ka
sadło	ˈsadwɔ
sagan	ˈsa.ɡan
sajgon	ˈsaj.ɡɔn
sajgonka	sajˈɡɔn.ka
sajonara	sa.jɔˈna.ra
sake	seɪk
saksofonista	sak.sɔ.fɔˈɲi.sta
sala	ˈsala
saletra	saˈlɛ.tra
salon	səˈlɒn
sam	sæm
samar	ˈsa.mar
samica	saˈmʲi.t͡sa
samiec	ˈsa.mʲɛt͡s
samobójca	samɔˈbujt͡sa
samobójstwo	samɔˈbujstfɔ
samochodem	sa.mɔˈxɔ.dɛm
samochody	samɔˈxɔdɨ
samochodzie	sa.mɔˈxɔ.d͡ʑɛ
samochód	s̪aˈmɔxut̪
samodzielny	sa.mɔˈd͡ʑɛl.nɨ
samogon	saˈmɔ.ɡɔn
samogłoska	samɔˈɡwɔska
samojebka	sa.mɔˈjɛp.ka
samolocie	sa.mɔˈlɔ.t͡ɕɛ
samolotbezzałogowy	saˈmɔ.lɔt bɛz.za.wɔˈɡɔ.vɨ
samolotu	sa.mɔˈlɔ.tu
samoloty	sa.mɔˈlɔ.tɨ
samolubny	sa.mɔˈlub.nɨ
samorzutnie	sa.mɔˈʐut.ɲɛ
samorzutny	sa.mɔˈʐut.nɨ
samostrzał	saˈmɔ.stʂaw
samosąd	saˈmɔ.sɔnt
samotniejszy	sa.mɔtˈɲɛj.ʂɨ
samotnik	saˈmɔt.ɲik
samotność	s̪äˈmɔtn̪ɔɕt͡ɕ
samotny	saˈmɔt.nɨ
samouk	saˈmɔ.uk
samozaoranie	sa.mɔ.za.ɔˈra.ɲɛ
samozwaniec	sa.mɔzˈva.ɲɛt͡s
samt	samt
samuraj	saˈmuraj
sanki	ˈs̪an̪kʲi
sanskrycki	sanˈskrɨt͡s.kʲi
sanskryt	ˈsan.skrɨt
sapać	ˈsa.pat͡ɕ
sardynka	sarˈdɨnka
sarkać	ˈsar.kat͡ɕ
sarkofagi	s̪arkɔˈfaɟi
sarna	ˈsarna
sarniak	ˈsar.ɲak
satanista	sa.taˈɲi.sta
satrapa	ˈsa.tra.pa
sauna	ˈsɔː.nə
sałata	saˈwata
sałatka	saˈwat ka
scenarzysta	st͡sɛ.naˈʐɨ.sta
scenę	ˈst͡sɛ.nɛ
schab	sxap
schabowy	sxaˈbɔ.vɨ
schadzka	ˈsxat͡s.ka
schizma	ˈsxʲiz.ma
schizofrenia	sxʲi.zɔˈfrɛ.ɲa
schlebiający	sxlɛ.bʲaˈjɔn.t͡sɨ
schnąć	sxnɔɲt͡ɕ
schorzenie	sxɔˈʐɛ.ɲɛ
schowaj	ˈsxɔ.vaj
schować	ˈsxɔ.vat͡ɕ
schowek	ˈsxɔ.vɛk
schronisko	sxrɔˈɲi.skɔ
schyłek	ˈsxɨ.wɛk
sciencefiction	ˈsaɪəns ˌfɪkʃən
scyzoryk	st͡sɨˈzɔ.rɨk
seaborg	ˈsɨ.bɔrk
sedno	ˈsɛd.nɔ
sejf	sɛɪ̯f
sejmik	ˈsɛj.mʲik
seks	sɛks
seksoralny	sɛks ɔˈral.nɨ
sekta	ˈsɛk.ta
sektasmoleńska	ˈsɛk.ta smɔˈlɛɲ.ska
sekund	seˈkʊnt
sekunda	s̪ɛˈkun̪d̪a
sekundy	sɛˈkun.dɨ
sekundę	sɛˈkun.dɛ
selen	ˈsɛ.lɛn
selenocysteina	sɛ.lɛ.nɔ.t͡sɨ.stɛˈi.na
semantyczny	sɛ.manˈtɨt͡ʂ.nɨ
semestr	ˈsɛ.mɛstr
seminarzysta	sɛ.mʲi.naˈʐɨ.sta
sen	sɛn
senior	ˈsinjɚ
seniora	sɛˈɲɔ.ra
seniorem	sɛˈɲɔ.rɛm
sens	sɑ̃s
sensacja	sɛnˈsat͡s.ja
sensacyjny	sɛn.saˈt͡sɨj.nɨ
sensie	ˈsɛn.ɕɛ
senzimowy	sɛn ʑiˈmɔ.vɨ
ser	ˈse
serbiały	sɛr ˈbʲa.wɨ
serbski	ˈsɛrskʲi
serc	sʲerk
serca	ˈsɛrt͡sa
sercach	ˈsɛrt͡sax
serce	ˈs̪ɛrt͡s̪ɛ
sercem	ˈsɛr.t͡sɛm
sercu	ˈsɛr.t͡su
serduszko	sɛrˈduʂ.kɔ
seriarzutówkarnych	ˈsɛrʲja ˈʐutuf ˈkarnɨx
serio	ˈsɛ.rʲɔ
sernik	ˈs̪ɛrɲik
sertopiony	sɛr tɔˈpʲɔ.nɨ
serwatka	sɛrˈvat.ka
serwerownia	sɛr.vɛˈrɔv.ɲa
są	s̪ɔ̃w̃
sączyć	ˈsɔn.t͡ʂɨt͡ɕ
sąd	sɔnt
sądu	ˈsɔn.du
sądzi	ˈsɔɲ.d͡ʑi
sądzie	ˈsɔɲ.d͡ʑɛ
sądzisz	ˈs̪ɔ̃ɲd͡ʑiʂ
sądzić	ˈsɔɲ.d͡ʑit͡ɕ
sądziłam	sɔɲˈd͡ʑi.wam
sądziłem	sɔɲˈd͡ʑi.wɛm
sądzę	ˈs̪ɔ̃n̪d͡z̪ɛ
sąg	s̪ɔ̃ŋk
sąsiad	ˈsɔ̃ɕat
sąsiedztwo	sɔɲˈɕɛt͡s.tfɔ
sążny	ˈsɔŋ.ʐnɨ
ta	tɑː
tabaka	tabaka
tabela	taˈbɛla
tablica	tabˈlʲi.t͡sa
tablicaMendelejewa	tabˈlʲi.t͡sa mɛn.dɛ.lɛˈjɛ.va
tabliczka	tabˈlʲit͡ʂ.ka
tabliczkamnożenia	tabˈlʲit͡ʂ.ka mnɔˈʐɛ.ɲa
tabloid	tabˈlɔ.it
tabloidy	tab.lɔˈi.dɨ
tabor	ˈta.bɔr
taboret	ˈtæbəɹɛt
taca	ˈta.kə
tachykardia	t̪axɨˈkard̪ja
tacierzyński	ta.t͡ɕɛˈʐɨɲ.skʲi
tacy	ˈta.t͡sɨ
taczka	ˈtat͡ʂka
tafla	ˈtʰapla
taić	ˈta.it͡ɕ
tajać	ˈta.jat͡ɕ
tajemnicy	ta.jɛmˈɲi.t͡sɨ
tajlandzki	t̪ajˈlan̪t͡s̪kʲi
tajniejszy	tajˈɲɛj.ʂɨ
tajnik	ˈtaj.ɲik
tajny	ˈtajnɨ
tajski	ˈt̪ajs̪kʲi
tak	tak
taka	ˈtʰɛaːʰka
taki	ˈt̪aci
takiej	ˈta.kʲɛj
takiemu	taˈkʲɛ.mu
taksówka	taˈksufka
taksówkarz	taˈksufkaʂ
taką	ˈta.kɔ̃
także	ˈta.ɡʐɛ
tal	ˈtal
talar	ˈtalar
talent	ˈtælənt
talerz	ˈta.lɛʂ
talon	ˈtælən
talonnabalon	ˈta.lɔn na ˈba.lɔn
tam	tam
tama	ˈta.ma
tamci	ˈtam.t͡ɕi
tamten	ˈtamtɛn
tanatopraksja	ta.na.tɔˈprak.sja
tandeta	tanˈdɛ.ta
tandetny	tanˈdɛt.nɨ
tani	taˈni
taniec	ˈtaɲɛt͡s
taniocha	taˈɲɔ.xa
tankowiec	tanˈkɔ.vʲɛt͡s
tantal	ˈtan.tal
taon	tɑ̃
tapeta	taˈpɛta
taran	tʰaˈraŋ
taras	tàra̋-s
tarcza	ˈt̪art͡ʂa
targ	tark
targać	ˈtar.ɡat͡ɕ
targi	ˈtar.ɡʲi
tarka	ˈtɒrkɒ
tartak	ˈtar.tak
tasak	ˈtɒʃɒk
tata	tɑtɑ
taternik	taˈtɛr.ɲik
tato	ˈt̪at̪ɔ
tatuaż	taˈtuaʂ
tatusia	taˈtu.ɕa
tatusiu	taˈtu.ɕu
tatuujący	ta.tu.uˈjɔn.t͡sɨ
tatuś	ˈt̪at̪uɕ
taty	ˈta.tɨ
tatą	ˈta.tɔ̃
tatę	ˈta.tɛ
tańczyć	ˈt̪ãĩ̯nt͡ʂɨt͡ɕ
tańsi	ˈt̪ãĩ̯ɕi
taśma	ˈtaɕ.ma
